         *         *         *         *         *         *         *     0.000         *         *         *         *    -0.401     0.712    1
     0.000    -1.000     0.000     0.000    -2.000     0.000     0.000    -2.000     1.000    -1.000     1.000     0.000    -0.550     0.322   76
     0.000     1.000     0.000     0.000    -3.000    -3.000    -1.000     0.000    -1.000    -1.000     0.000    -2.000    -1.000     0.322   77
     1.000    -3.000     1.000    -2.000    -2.000    -2.000     0.000    -2.000    -2.000    -2.000     1.000    -2.000    -1.247     0.322   78
     0.000     1.000     0.000    -2.000    -3.000     0.000     2.000     0.000    -1.000     0.000     1.000     1.000    -0.113     0.322   79
     0.000     0.000     0.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000     0.000     0.000    -1.345     0.322   80
     3.000     3.000    -2.000     2.000     3.000     3.000     2.000     2.000     2.000     2.000     2.000     1.000     1.142     0.322   81
    -2.000     2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000     2.000    -2.000    -2.000     2.000    -1.174     0.322   82
     3.000     2.000     1.000     1.000     3.000     3.000     3.000     1.000     2.000     3.000     2.000     1.000     1.284     0.322   83
     1.000    -2.000     0.000    -2.000    -2.000    -2.000     1.000     2.000     2.000     2.000     3.000     2.000     0.571     0.322   84
     0.000    -2.000     1.000     0.000     0.000     0.000     0.000     0.000    -1.000     1.000     0.000     1.000    -0.427     0.322   85
     1.000     2.000     1.000     1.000     2.000     2.000     2.000     1.000     1.000     2.000     2.000     1.000     0.852     0.322   86
    -1.000    -2.000    -1.000    -3.000    -3.000    -3.000    -3.000    -2.000    -2.000    -2.000     0.000    -1.000    -1.856     0.322   87
     1.000    -2.000     0.000     0.000     1.000     1.000     2.000     1.000     2.000     1.000     2.000     1.000     0.496     0.322   88
     2.000    -1.000     2.000    -3.000    -3.000    -3.000     1.000     0.000    -2.000     1.000     2.000     2.000    -0.065     0.322   89
    -3.000    -3.000    -3.000     0.000    -3.000    -3.000    -3.000    -3.000    -3.000     1.000    -3.000    -2.000    -2.496     0.322   90
    -2.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -2.000    -3.000     0.000     0.000    -2.000    -2.098     0.322   91
     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     1.000     1.000     0.950     0.322   92
     2.000     2.000     1.000     2.000     1.000     1.000     2.000     2.000     2.000     2.000     1.000     2.000     1.023     0.322   93
     1.000     2.000     2.000     2.000     1.000     2.000     2.000     1.000     2.000     2.000     2.000     2.000     1.107     0.322   94
    -2.000    -3.000    -1.000    -2.000    -2.000    -3.000     2.000    -2.000    -3.000    -2.000    -2.000    -3.000    -1.940     0.322   95
     1.000     3.000     2.000     1.000    -2.000     1.000     2.000     3.000     2.000     2.000     2.000     3.000     1.339     0.322   96
     1.000     1.000     0.000    -1.000    -1.000    -1.000    -1.000     0.000     0.000     1.000     0.000    -2.000    -0.640     0.322   97
    -2.000    -3.000     1.000     0.000    -3.000     2.000    -3.000     0.000     2.000     0.000    -2.000    -3.000    -1.361     0.322   98
     3.000     1.000     2.000     0.000     0.000     1.000     2.000     1.000     1.000     2.000     1.000     2.000     0.803     0.322   99
    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -1.000    -1.000    -1.000    -1.000     0.000    -1.553     0.322  100
    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000     2.000     1.000    -1.000    -1.854     0.322  101
    -1.000    -1.000    -1.000    -2.000    -3.000    -3.000     1.000     1.000     0.000     1.000     0.000     1.000    -0.449     0.322  102
     2.000     2.000    -3.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    -0.262     0.322  103
     0.000    -3.000    -2.000    -1.000    -3.000    -3.000    -2.000     0.000    -2.000    -2.000    -2.000     1.000    -1.639     0.322  104
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     2.000     2.000     0.652     0.322  105
     3.000    -3.000     3.000     1.000    -3.000    -3.000     2.000     2.000     3.000    -1.000     2.000     1.000     0.549     0.322  106
     0.000     0.000     0.000    -1.000    -2.000    -2.000    -1.000    -1.000    -2.000    -1.000     0.000    -1.000    -1.128     0.322  107
     2.000     2.000     2.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.573     0.322  108
     1.000     1.000     1.000    -2.000     0.000     0.000     2.000     2.000     2.000     0.000     1.000     2.000     0.568     0.322  109
    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000     1.000    -3.000     3.000    -3.000    -2.000    -2.000    -1.788     0.322  110
     0.000     0.000     2.000     0.000     0.000     2.000     2.000     0.000     3.000     0.000     0.000     0.000     0.219     0.322  111
     0.000     0.000     1.000     0.000    -1.000     0.000     0.000     0.000     0.000     0.000    -1.000     0.000    -0.548     0.322  112
     1.000     0.000     1.000     0.000     0.000     0.000     1.000     2.000     1.000     1.000     2.000     2.000     0.601     0.322  113
     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000     0.000    -0.074     0.322  114
     0.000    -2.000    -2.000     0.000    -1.000    -3.000    -2.000    -2.000     0.000     0.000     0.000     1.000    -1.094     0.322  115
     2.000     0.000     2.000     1.000     0.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.090     0.322  116
     3.000     2.000     1.000     3.000     1.000     2.000     2.000     1.000     3.000     2.000     1.000    -1.000     0.859     0.322  117
